title,authors,genres,scored,popularty,status
The Legendary Moonlight Sculptor #1,Drunken Blue,Sci-Fi,3.9,25208,Hiatus
One Piece #2,Nokdu,Drama,3.67,1857,Ongoing
The Second Coming of Gluttony #3,Eiichiro Oda,Adventure,3.99,72777,Completed
Douluo Dalu #4,Reki Kawahara,Action,2.28,80044,Hiatus
Against the Gods #5,Goose Five,Drama,4.98,15194,Completed
Omniscient Reader's Viewpoint #6,Wo Chi Xi Hong Shi,Comedy,2.72,91140,Completed
Overgeared #7,Tite Kubo,Action,2.01,67571,Completed
Stellar Transformation #8,Cocooned Cow,Romance,2.48,36563,Ongoing
Desolate Era #9,Tappei Nagatsuki,Drama,3.6,56486,Hiatus
Stellar Transformation #10,Kohei Horikoshi,Drama,4.08,70009,Hiatus
Trash of the Count’s Family #11,Toika,Fantasy,4.46,55131,Ongoing
A Returner’s Magic Should Be Special #12,Toika,Adventure,2.92,80104,Completed
Stellar Transformation #13,Blue Butterfly,Action,2.84,46286,Hiatus
Douluo Dalu #14,Drunken Blue,Fantasy,3.22,53754,Hiatus
The Legendary Moonlight Sculptor #15,Tite Kubo,Drama,3.44,33964,Hiatus
Overlord #16,Jeong Gong,Fantasy,2.27,39942,Hiatus
Douluo Dalu #17,Jeong Gong,Action,3.51,96061,Hiatus
The Second Coming of Gluttony #18,Nam Heesung,Horror,2.82,58149,Ongoing
Naruto #19,Eiichiro Oda,Action,2.56,25086,Ongoing
Desolate Era #20,Kugane Maruyama,Drama,4.21,20707,Hiatus
The King's Avatar #21,Jeong Gong,Action,3.66,8190,Hiatus
Tokyo Ghoul #22,Nam Heesung,Fantasy,2.58,76307,Hiatus
The Legendary Moonlight Sculptor #23,Tite Kubo,Horror,4.12,22573,Hiatus
Battle Through the Heavens #24,Heavenly Silkworm Potato,Fantasy,4.77,36810,Ongoing
One Piece #25,Koyoharu Gotouge,Action,4.89,60356,Ongoing
Bleach #26,Hajime Isayama,Horror,2.56,65107,Completed
The Legendary Moonlight Sculptor #27,Sing Shong,Action,4.96,92269,Completed
