title,authors,genres,scored,popularty,status
The Legendary Moonlight Sculptor #1,Drunken Blue,Sci-Fi,7.976666666666667,25208,Hiatus
One Piece #2,Nokdu,Drama,7.616333333333333,1857,Ongoing
The Second Coming of Gluttony #3,Eiichiro Oda,Adventure,8.117666666666667,72777,Completed
Douluo Dalu #4,Reki Kawahara,Action,5.438666666666666,80044,Hiatus
Against the Gods #5,Goose Five,Drama,9.668666666666667,15194,Completed
Omniscient Reader's Viewpoint #6,Wo Chi Xi Hong Shi,Comedy,6.128,91140,Completed
Overgeared #7,Tite Kubo,Action,5.015666666666666,67571,Completed
Stellar Transformation #8,Cocooned Cow,Romance,5.752,36563,Ongoing
Desolate Era #9,Tappei Nagatsuki,Drama,7.506666666666666,56486,Hiatus
Stellar Transformation #10,Kohei Horikoshi,Drama,8.258666666666667,70009,Hiatus
Trash of the Count’s Family #11,Toika,Fantasy,8.854,55131,Ongoing
A Returner’s Magic Should Be Special #12,Toika,Adventure,6.441333333333333,80104,Completed
Stellar Transformation #13,Blue Butterfly,Action,6.316,46286,Hiatus
Douluo Dalu #14,Drunken Blue,Fantasy,6.911333333333333,53754,Hiatus
The Legendary Moonlight Sculptor #15,Tite Kubo,Drama,7.256,33964,Hiatus
Overlord #16,Jeong Gong,Fantasy,5.423,39942,Hiatus
Douluo Dalu #17,Jeong Gong,Action,7.365666666666666,96061,Hiatus
The Second Coming of Gluttony #18,Nam Heesung,Horror,6.284666666666666,58149,Ongoing
Naruto #19,Eiichiro Oda,Action,5.8773333333333335,25086,Ongoing
Desolate Era #20,Kugane Maruyama,Drama,8.462333333333333,20707,Hiatus
The King's Avatar #21,Jeong Gong,Action,7.600666666666666,8190,Hiatus
Tokyo Ghoul #22,Nam Heesung,Fantasy,5.908666666666667,76307,Hiatus
The Legendary Moonlight Sculptor #23,Tite Kubo,Horror,8.321333333333333,22573,Hiatus
Battle Through the Heavens #24,Heavenly Silkworm Potato,Fantasy,9.339666666666666,36810,Ongoing
One Piece #25,Koyoharu Gotouge,Action,9.527666666666665,60356,Ongoing
Bleach #26,Hajime Isayama,Horror,5.8773333333333335,65107,Completed
The Legendary Moonlight Sculptor #27,Sing Shong,Action,9.637333333333332,92269,Completed
Coiling Dragon #28,Wo Chi Xi Hong Shi,Fantasy,6.723333333333333,52797,Ongoing
A Returner’s Magic Should Be Special #29,Yoo Ryeo Han,Action,6.519666666666667,62619,Completed
Dungeon Defense #30,Sui Ishida,Fantasy,7.475333333333333,24806,Hiatus
Solo Leveling #31,Nam Heesung,Action,5.548333333333334,64847,Completed
Coiling Dragon #32,I Eat Tomatoes,Comedy,9.292666666666666,38511,Hiatus
The Legendary Moonlight Sculptor #33,Toika,Action,7.193333333333333,65121,Completed
Overlord #34,Nokdu,Sci-Fi,5.015666666666666,47837,Completed
Omniscient Reader's Viewpoint #35,Eiichiro Oda,Fantasy,9.339666666666666,70861,Ongoing
Bleach #36,Blue Butterfly,Comedy,8.822666666666667,70477,Ongoing
Release That Witch #37,Goose Five,Sci-Fi,9.527666666666665,88725,Hiatus
Coiling Dragon #38,Cheongcho,Horror,7.600666666666666,68259,Hiatus
Stellar Transformation #39,Cocooned Cow,Adventure,9.590333333333332,22214,Ongoing
Douluo Dalu #40,Sui Ishida,Sci-Fi,7.506666666666666,29741,Ongoing
One Piece #41,Chugong,Drama,8.399666666666665,40151,Ongoing
Release That Witch #42,Nokdu,Comedy,9.684333333333333,78877,Hiatus
Battle Through the Heavens #43,Er Gen,Comedy,9.559,39974,Completed
Reincarnation of the Strongest Sword God #44,Heavenly Silkworm Potato,Romance,7.6946666666666665,63077,Completed
The Legendary Moonlight Sculptor #45,Jeong Gong,Sci-Fi,7.35,9581,Completed
Reincarnation of the Strongest Sword God #46,Zhu Hong,Comedy,7.209,73713,Ongoing
Dungeon Defense #47,Er Gen,Romance,7.381333333333333,73437,Ongoing
Battle Through the Heavens #48,Toika,Horror,5.234999999999999,49133,Ongoing
Overgeared #49,Sui Ishida,Action,8.493666666666666,1788,Ongoing
The Second Coming of Gluttony #50,Sui Ishida,Drama,6.269,10090,Ongoing
Overlord #51,Hajime Isayama,Fantasy,7.475333333333333,18651,Ongoing
Martial World #52,Yoo Ryeo Han,Drama,7.976666666666667,60929,Ongoing
My Hero Academia #53,Reki Kawahara,Horror,5.4543333333333335,69445,Ongoing
